Zip,Multiple Counties,County,Rate
43229,,Franklin,0.08
43230,,Franklin,0.08
43231,,Franklin,0.08
43232,,Franklin,0.08
43234,,Franklin,0.08
43235,*,Delaware,0.07
43235,*,Delaware (COTA),0.08
43235,*,Franklin,0.08
43236,,Franklin,0.08
43240,*,Delaware,0.07
43240,*,Delaware (COTA),0.08
43251,,Franklin,0.08
43260,,Franklin,0.08
43268,,Franklin,0.08
43270,,Franklin,0.08
43271,,Franklin,0.08
43272,,Franklin,0.08
43279,,Franklin,0.08
43287,,Franklin,0.08
43291,,Franklin,0.08
43301,,Marion,0.0725
43302,*,Crawford,0.0725
43302,*,Marion,0.0725
43302,*,Union,0.07
43310,*,Allen,0.0685
43310,*,Hardin,0.0725
43310,*,Logan,0.0725
43311,,Logan,0.0725
43314,*,Crawford,0.0725
43314,*,Marion,0.0725
43314,*,Morrow,0.0725
43315,*,Marion,0.0725
43315,*,Morrow,0.0725
43316,*,Hancock,0.0675
43316,*,Seneca,0.0725
43316,*,Wyandot,0.0725
43317,,Morrow,0.0725
43318,*,Champaign,0.0725
43318,*,Logan,0.0725
43319,*,Logan,0.0725
43319,*,Union,0.07
43320,,Morrow,0.0725
43321,,Morrow,0.0725
43322,,Marion,0.0725
43323,*,Marion,0.0725
43323,*,Wyandot,0.0725
43324,,Logan,0.0725
43325,,Morrow,0.0725
43326,*,Hardin,0.0725
43326,*,Marion,0.0725
43330,,Wyandot,0.0725
43331,*,Auglaize,0.0725
43331,*,Hardin,0.0725
43331,*,Logan,0.0725
43332,*,Hardin,0.0725
43332,*,Marion,0.0725
43332,*,Wyandot,0.0725
43333,,Logan,0.0725
43334,*,Delaware,0.07
43334,*,Morrow,0.0725
43336,,Logan,0.0725
43337,*,Marion,0.0725
43337,*,Wyandot,0.0725
43338,,Morrow,0.0725
43340,*,Hardin,0.0725
43340,*,Union,0.07
43341,,Marion,0.0725
43342,*,Delaware,0.07
43342,*,Marion,0.0725
43342,*,Union,0.07
43343,*,Champaign,0.0725
43343,*,Logan,0.0725
43343,*,Shelby,0.0725
43344,*,Delaware,0.07
43344,*,Marion,0.0725
43344,*,Union,0.07
43345,*,Hardin,0.0725
43345,*,Logan,0.0725
43345,*,Union,0.07
43346,,Hardin,0.0725
43347,*,Hardin,0.0725
43347,*,Logan,0.0725
43348,,Logan,0.0725
43349,,Morrow,0.0725
43350,,Morrow,0.0725
43351,,Wyandot,0.0725
43356,*,Delaware,0.07
43356,*,Marion,0.0725
43356,*,Morrow,0.0725
43357,*,Champaign,0.0725
43357,*,Logan,0.0725
43358,*,Logan,0.0725
43358,*,Union,0.07
43359,,Wyandot,0.0725
43360,,Logan,0.0725
43402,,Wood,0.0675
43403,,Wood,0.0675
43406,*,Sandusky,0.0725
43406,*,Wood,0.0675
43407,,Sandusky,0.0725
43408,,Ottawa,0.07
43410,*,Sandusky,0.0725
43410,*,Seneca,0.0725
43412,*,Lucas,0.0775
43412,*,Ottawa,0.07
43413,,Wood,0.0675
43414,,Wood,0.0675
43416,*,Ottawa,0.07
